7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,1,100,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,100
