12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,1,110,1,0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,100,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,100
