6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,110,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,100,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0
0,0,1,0,0,0,1,1,1,1,1,1,1,1,100,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,100,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000
