4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,19,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,100,1,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,12,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,100,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,100
